time,voltages
-4.9999999999999996e-06,0.003749999931703024
-4.9995000000141405e-06,0.003749999931703024
-4.9990000000282815e-06,0.003749999931703024
-4.9985000000424225e-06,0.003749999931703024
-4.9980000000565634e-06,0.0036458332634841384
-4.997500000070704e-06,0.0035416665952652526
-4.997000000084845e-06,0.0035416665952652526
-4.996500000098986e-06,0.0034374999270463946
-4.996000000113127e-06,0.0035416665952652526
-4.995500000127268e-06,0.0034374999270463946
-4.995000000141409e-06,0.0034374999270463946
-4.99450000015555e-06,0.0033333332588275366
-4.994000000169691e-06,0.0034374999270463946
-4.993500000183832e-06,0.0034374999270463946
-4.993000000197973e-06,0.0033333332588275366
-4.992500000212114e-06,0.0034374999270463946
-4.992000000226255e-06,0.0034374999270463946
-4.991500000240396e-06,0.0033333332588275366
-4.991000000254537e-06,0.0035416665952652526
-4.990500000268678e-06,0.0034374999270463946
-4.990000000282819e-06,0.0034374999270463946
-4.98950000029696e-06,0.0034374999270463946
-4.989000000311101e-06,0.0034374999270463946
-4.988500000325242e-06,0.0033333332588275366
-4.988000000339383e-06,0.003229166590608651
-4.987500000353524e-06,0.003229166590608651
-4.987000000367665e-06,0.0033333332588275366
-4.986500000381806e-06,0.0034374999270463946
-4.986000000395947e-06,0.0034374999270463946
-4.9855000004100876e-06,0.003229166590608651
-4.9850000004242285e-06,0.0033333332588275366
-4.9845000004383695e-06,0.0033333332588275366
-4.9840000004525105e-06,0.0033333332588275366
-4.9835000004666514e-06,0.0034374999270463946
-4.983000000480792e-06,0.0033333332588275366
-4.982500000494933e-06,0.0033333332588275366
-4.982000000509074e-06,0.0034374999270463946
-4.981500000523215e-06,0.0033333332588275366
-4.981000000537356e-06,0.0034374999270463946
-4.980500000551497e-06,0.0034374999270463946
-4.980000000565638e-06,0.0034374999270463946
-4.979500000579779e-06,0.003229166590608651
-4.97900000059392e-06,0.003124999922389793
-4.978500000608061e-06,0.003124999922389793
-4.978000000622202e-06,0.0028124999177331633
-4.977500000636343e-06,0.002916666585952049
-4.977000000650484e-06,0.0028124999177331633
-4.976500000664625e-06,0.0028124999177331633
-4.976000000678766e-06,0.0027083332495143053
-4.975500000692907e-06,0.0028124999177331633
-4.975000000707048e-06,0.0028124999177331633
-4.974500000721189e-06,0.003020833254170907
-4.97400000073533e-06,0.002916666585952049
-4.973500000749471e-06,0.003020833254170907
-4.973000000763612e-06,0.002916666585952049
-4.972500000777753e-06,0.0028124999177331633
-4.972000000791894e-06,0.0027083332495143053
-4.971500000806035e-06,0.0028124999177331633
-4.9710000008201756e-06,0.0027083332495143053
-4.9705000008343165e-06,0.0027083332495143053
-4.9700000008484575e-06,0.0026041665812954473
-4.9695000008625985e-06,0.0024999999130765616
-4.9690000008767394e-06,0.002395833244857676
-4.96850000089088e-06,0.002395833244857676
-4.968000000905021e-06,0.0021874999084199598
-4.967500000919162e-06,0.0021874999084199598
-4.967000000933303e-06,0.002291666576638818
-4.966500000947444e-06,0.0021874999084199598
-4.966000000961585e-06,0.002083333240201074
-4.965500000975726e-06,0.0019791665719821883
-4.965000000989867e-06,0.0018749999037633303
-4.964500001004008e-06,0.0016666665673255865
-4.964000001018149e-06,0.0015624998991067285
-4.96350000103229e-06,0.0015624998991067285
-4.963000001046431e-06,0.0013541665626689847
-4.962500001060572e-06,0.0013541665626689847
-4.962000001074713e-06,0.001145833226231241
-4.961500001088854e-06,0.001249999894450099
-4.961000001102995e-06,0.001145833226231241
-4.960500001117136e-06,0.001145833226231241
